"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"22.07.2016","34.66","34.38","34.70","34.26","33.03M","1.14%"
"21.07.2016","34.27","34.33","34.49","33.86","63.71M","-3.98%"
"20.07.2016","35.69","35.30","35.93","35.06","42.99M","1.54%"
"19.07.2016","35.15","34.89","35.16","34.85","20.40M","0.29%"
"18.07.2016","35.05","35.18","35.20","34.95","19.35M","-0.06%"
"15.07.2016","35.07","35.26","35.29","34.90","23.66M","-0.37%"
"14.07.2016","35.20","35.13","35.30","34.96","25.30M","0.54%"
"13.07.2016","35.01","35.04","35.25","34.88","29.12M","0.20%"
"12.07.2016","34.94","34.51","34.97","34.48","28.06M","1.63%"
"11.07.2016","34.38","34.04","34.50","34.04","23.82M","1.12%"
"08.07.2016","34.00","33.65","34.00","33.50","23.34M","2.41%"
"07.07.2016","33.20","32.96","33.55","32.96","26.12M","0.70%"
"06.07.2016","32.97","32.80","33.00","32.38","21.07M","0.89%"
"05.07.2016","32.68","32.50","32.73","32.45","20.11M","-0.21%"
"01.07.2016","32.75","32.64","32.88","32.47","17.08M","-0.15%"
"30.06.2016","32.80","32.00","32.88","31.97","34.53M","2.72%"
"29.06.2016","31.93","31.35","31.98","31.31","22.77M","2.37%"
"28.06.2016","31.19","30.97","31.20","30.81","23.69M","1.53%"
"27.06.2016","30.72","31.41","31.41","30.44","35.45M","-2.63%"
"24.06.2016","31.55","31.80","32.32","31.40","38.09M","-4.36%"
"23.06.2016","32.99","32.58","33.00","32.50","22.05M","2.17%"
"22.06.2016","32.29","32.30","32.63","32.25","18.30M","-0.09%"
"21.06.2016","32.32","32.26","32.38","32.09","15.48M","0.47%"
"20.06.2016","32.17","32.07","32.44","32.01","21.96M","1.29%"
"17.06.2016","31.76","31.73","31.81","31.47","27.05M","0.22%"
"16.06.2016","31.69","31.44","31.77","31.22","18.55M","0.25%"
"15.06.2016","31.61","32.25","32.26","31.59","23.78M","-1.65%"
"14.06.2016","32.14","32.01","32.24","31.79","18.75M","-0.09%"
"13.06.2016","32.17","32.05","32.50","32.04","23.00M","0.41%"
"10.06.2016","32.04","31.70","32.24","31.65","35.75M","0.31%"
"09.06.2016","31.94","31.68","32.00","31.68","11.28M","0.16%"
"08.06.2016","31.89","31.80","32.00","31.79","12.73M","0.03%"
"07.06.2016","31.88","31.75","32.02","31.70","19.34M","0.63%"
"06.06.2016","31.68","31.64","31.82","31.58","15.14M","0.19%"
"03.06.2016","31.62","31.74","31.74","31.39","15.78M","-0.44%"
"02.06.2016","31.76","31.56","31.76","31.45","14.14M","0.32%"
"01.06.2016","31.66","31.62","31.72","31.47","17.75M","0.22%"
"31.05.2016","31.59","31.51","31.65","31.31","23.04M","0.06%"
"27.05.2016","31.57","31.60","31.65","31.45","13.34M","0.25%"
"26.05.2016","31.49","31.49","31.63","31.40","12.69M","0.32%"
"25.05.2016","31.39","31.20","31.57","31.15","18.42M","1.06%"
